"anio_regis","week_regis","ent_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","name","abr","date_ref"
2020,8,1,129,167.4,179.470922037272,179.470922037272,"AGUASCALIENTES","AS",2020-02-19
2020,8,2,529,467.2,534.313611937934,534.313611937934,"BAJA CALIFORNIA","BC",2020-02-19
2020,8,3,79,85,101.767997123031,101.767997123031,"BAJA CALIFORNIA SUR","BS",2020-02-19
2020,8,4,99,102.8,99.5834660107386,99.5834660107386,"CAMPECHE","CC",2020-02-19
2020,8,5,357,391.8,420.2411032331,420.2411032331,"COAHUILA","CL",2020-02-19
2020,8,6,122,97.4,122.477032816676,122.477032816676,"COLIMA","CM",2020-02-19
2020,8,7,490,546.6,561.525830754238,561.525830754238,"CHIAPAS","CS",2020-02-19
2020,8,8,510,561.6,591.067399341191,591.067399341191,"CHIHUAHUA","CH",2020-02-19
2020,8,9,1496,1725.8,1504.34924094251,1504.34924094251,"CIUDAD DE MÉXICO","DF",2020-02-19
2020,8,10,196,240,249.532075624173,249.532075624173,"DURANGO","DG",2020-02-19
2020,8,11,777,759.2,846.082214699724,846.082214699724,"GUANAJUATO","GT",2020-02-19
2020,8,12,302,438.4,459.795483547596,459.795483547596,"GUERRERO","GR",2020-02-19
2020,8,13,315,382.4,396.812391178345,396.812391178345,"HIDALGO","HG",2020-02-19
2020,8,14,950,1157.6,1135.30869174984,1135.30869174984,"JALISCO","JC",2020-02-19
2020,8,15,1553,1659.2,1761.12347345681,1761.12347345681,"MÉXICO","MC",2020-02-19
2020,8,16,534,746,803.050033345606,803.050033345606,"MICHOACÁN","MN",2020-02-19
2020,8,17,263,276.6,303.139841650854,303.139841650854,"MORELOS","MS",2020-02-19
2020,8,18,134,156.4,150.179277370036,150.179277370036,"NAYARIT","NT",2020-02-19
2020,8,19,602,683.4,772.902863012488,772.902863012488,"NUEVO LEÓN","NL",2020-02-19
2020,8,20,499,463.6,526.548244419135,526.548244419135,"OAXACA","OC",2020-02-19
2020,8,21,791,859.6,838.122994708739,838.122994708739,"PUEBLA","PL",2020-02-19
2020,8,22,243,262.8,259.355293176296,259.355293176296,"QUERÉTARO","QT",2020-02-19
2020,8,23,155,159.8,172.611711551078,172.611711551078,"QUINTANA ROO","QR",2020-02-19
2020,8,24,322,356.2,409.316235441505,409.316235441505,"SAN LUIS POTOSÍ","SP",2020-02-19
2020,8,25,338,355.6,358.683539467736,358.683539467736,"SINALOA","SL",2020-02-19
2020,8,26,416,357.4,414.250791683282,414.250791683282,"SONORA","SR",2020-02-19
2020,8,27,277,266.4,302.474257353928,302.474257353928,"TABASCO","TC",2020-02-19
2020,8,28,367,446.8,478.357483784183,478.357483784183,"TAMAULIPAS","TS",2020-02-19
2020,8,29,116,160.8,152.85185681191,152.85185681191,"TLAXCALA","TL",2020-02-19
2020,8,30,988,1075.4,1146.98128479404,1146.98128479404,"VERACRUZ","VZ",2020-02-19
2020,8,31,257,267.4,280.568472204184,280.568472204184,"YUCATÁN","YN",2020-02-19
2020,8,32,212,207.8,247.989498327646,247.989498327646,"ZACATECAS","ZS",2020-02-19
2020,9,1,134,146,183.068238676093,183.068238676093,"AGUASCALIENTES","AS",2020-02-26
2020,9,2,447,465,556.780858767679,556.780858767679,"BAJA CALIFORNIA","BC",2020-02-26
2020,9,3,65,84,92.6407488105594,92.6407488105594,"BAJA CALIFORNIA SUR","BS",2020-02-26
2020,9,4,86,89,97.618537732466,97.618537732466,"CAMPECHE","CC",2020-02-26
2020,9,5,354,350.4,420.556580310287,420.556580310287,"COAHUILA","CL",2020-02-26
2020,9,6,94,94.4,124.874849830145,124.874849830145,"COLIMA","CM",2020-02-26
2020,9,7,521,521,568.14142736513,568.14142736513,"CHIAPAS","CS",2020-02-26
2020,9,8,547,552.6,593.638839641798,593.638839641798,"CHIHUAHUA","CH",2020-02-26
2020,9,9,1345,1645,1526.72745271604,1526.72745271604,"CIUDAD DE MÉXICO","DF",2020-02-26
2020,9,10,194,231.6,267.370689671851,267.370689671851,"DURANGO","DG",2020-02-26
2020,9,11,806,772.8,828.234953570353,828.234953570353,"GUANAJUATO","GT",2020-02-26
2020,9,12,341,430.6,478.090380545639,478.090380545639,"GUERRERO","GR",2020-02-26
2020,9,13,313,354,404.926744929613,404.926744929613,"HIDALGO","HG",2020-02-26
2020,9,14,856,1074.2,1107.41451863972,1107.41451863972,"JALISCO","JC",2020-02-26
2020,9,15,1548,1652,1734.49906414715,1734.49906414715,"MÉXICO","MC",2020-02-26
2020,9,16,556,613.8,818.043931548464,818.043931548464,"MICHOACÁN","MN",2020-02-26
2020,9,17,243,279.2,311.096479968686,311.096479968686,"MORELOS","MS",2020-02-26
2020,9,18,99,156,172.082382420668,172.082382420668,"NAYARIT","NT",2020-02-26
2020,9,19,641,577.6,812.327122848328,812.327122848328,"NUEVO LEÓN","NL",2020-02-26
